date,metric_name,chain_name,sum_of_usdt
2023-04-24,sum of usdt,statemine,3499755.734645
2023-04-24,sum of usdt,statemint,7998762.644702
2023-04-23,sum of usdt,statemine,3499755.734645
2023-04-23,sum of usdt,statemint,7998762.644702
2023-04-22,sum of usdt,statemine,3499755.734645
2023-04-22,sum of usdt,statemint,7998762.644702
2023-04-21,sum of usdt,statemine,3499755.734645
2023-04-21,sum of usdt,statemint,7998762.644702
2023-04-20,sum of usdt,statemine,3499755.734645
2023-04-20,sum of usdt,statemint,7998762.644702
2023-04-19,sum of usdt,statemine,3499755.734645
2023-04-19,sum of usdt,statemint,7998762.644702
2023-04-18,sum of usdt,statemine,3499755.734645
2023-04-18,sum of usdt,statemint,7998762.644702
2023-04-17,sum of usdt,statemine,3499755.734645
2023-04-17,sum of usdt,statemint,7998762.644702
2023-04-16,sum of usdt,statemine,3499755.734645
2023-04-16,sum of usdt,statemint,7998762.644702
2023-04-15,sum of usdt,statemine,3499755.734645
2023-04-15,sum of usdt,statemint,7998762.644702
2023-04-14,sum of usdt,statemine,3499755.734645
2023-04-14,sum of usdt,statemint,7998762.644702
2023-04-13,sum of usdt,statemine,3499755.734645
2023-04-13,sum of usdt,statemint,7998763.244702
2023-04-12,sum of usdt,statemine,3499755.734645
2023-04-12,sum of usdt,statemint,7998763.244702
2023-04-11,sum of usdt,statemine,3499755.734645
2023-04-11,sum of usdt,statemint,7998763.544702
2023-04-10,sum of usdt,statemine,3499755.734645
2023-04-10,sum of usdt,statemint,7998764.144702
2023-04-09,sum of usdt,statemine,3499755.734645
2023-04-09,sum of usdt,statemint,7998764.144702
2023-04-08,sum of usdt,statemine,3499755.734645
2023-04-08,sum of usdt,statemint,7998764.144702
2023-04-07,sum of usdt,statemine,3499755.734645
2023-04-07,sum of usdt,statemint,7998764.144702
2023-04-06,sum of usdt,statemine,3499755.734645
2023-04-06,sum of usdt,statemint,7998764.144702
2023-04-05,sum of usdt,statemine,3499755.734645
2023-04-05,sum of usdt,statemint,7998764.144702
2023-04-04,sum of usdt,statemine,3499755.734645
2023-04-04,sum of usdt,statemint,7998764.144702
2023-04-03,sum of usdt,statemine,3499755.734645
2023-04-03,sum of usdt,statemint,7998764.144702
2023-04-02,sum of usdt,statemine,3499755.734645
2023-04-02,sum of usdt,statemint,7998764.144702
